Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy,Country_copy,Area (sq. mi.),Pop. Density (per sq. mi.)
133,7,2004,12.0,14.9,317.967,11.5,96,97,25.9,98,97,0.08,6857,144.07,2.5,2.8,11.4,0,1,65.5,RussianFederation,17075200.0,8.437382871064468
82,1,2003,2.9,4.0,70.306,7.82,83,86,22.5,97,97,0.17,31830,127.72,1.7,1.4,11.0,1,0,81.8,Japan,377835.0,338.03115116386783
103,0,2004,67.8,109.7,223.7,0.014,61,64,24.1,68,70,0.4,1307,2.94,1.0,9.8,3.3,0,1,61.2,Mauritania,1030700.0,2.8524303871155525
54,0,2007,59.3,103.8,579.801,6.34,92,99,26.1,88,87,18.67,3175,1.04,6.5,6.7,5.3,0,1,43.3,Eswatini,6704.3,155.12432319556106
119,0,2011,83.0,133.1,372.383,4.99,46,64,23.0,48,48,0.73,2464,162.81,11.0,1.9,5.5,0,1,51.3,Nigeria,923768.0,176.24555083094455
168,4,2002,9.1,10.6,92.432,1.6,92,92,27.3,94,94,0.13,56815,3.48,5.3,5.0,8.6,0,1,74.8,UnitedArabEmirates,82880.0,41.988416988416986
26,0,2005,78.4,124.9,346.6695,6.07,87,57,21.0,82,87,0.83,296,7.36,8.2,8.3,2.3,0,1,53.4,Burundi,27830.0,264.46280991735534
156,1,2006,44.1,51.9,155.062,0.56,88,96,24.7,76,83,0.07,662,6.92,3.8,3.9,10.5,0,1,66.8,Tajikistan,143100.0,48.357791754018166
71,2,2000,30.3,37.0,171.706,2.47,93,83,24.8,88,94,0.53,1790,6.57,2.8,2.7,4.3,0,1,70.7,Honduras,112090.0,58.61361406013025
35,8,2008,16.7,19.5,151.1495,4.35,92,70,25.5,92,92,0.19,4992,44.25,2.3,2.0,7.3,0,1,75.0,Colombia,1138910.0,38.85293833577719
60,0,2009,47.1,76.8,277.4475,3.05,97,64,23.3,97,98,1.29,733,1.74,8.4,8.3,2.7,0,1,59.3,"Gambia,The",11300.0,153.98230088495575
97,0,2015,41.3,59.0,218.4575,0.86,69,64,21.3,68,69,0.24,467,24.23,7.1,7.1,6.1,0,1,65.5,Madagascar,587040.0,41.27487053693105
73,7,2003,2.8,3.5,58.787,6.52,88,92,25.7,97,97,0.03,43764,0.29,1.0,0.9,9.8,1,0,81.0,Iceland,103000.0,2.8155339805825244
110,0,2002,40.6,48.0,140.5375,0.46,92,92,24.8,94,94,0.06,1905,29.45,6.6,6.5,3.6,0,1,69.8,Morocco,446550.0,65.95006158324935
123,1,2011,68.6,85.0,166.204,0.04,74,38,23.5,63,74,0.13,1246,183.34,2.0,2.4,4.8,0,1,65.6,Pakistan,803940.0,228.05184466502476
19,8,2009,34.8,44.1,204.4305,3.64,93,83,25.7,92,93,0.18,2455,9.88,1.2,1.1,7.9,0,1,67.5,Bolivia,1098580.0,8.993427879626427
28,1,2006,49.3,59.7,214.084,1.18,80,48,21.2,80,80,0.3,760,13.48,11.4,11.6,3.6,0,1,63.9,Cambodia,181040.0,74.45868316394167
99,1,2006,7.0,8.1,129.376,0.45,95,90,24.6,95,95,0.2,7531,26.2,8.8,8.6,8.2,0,1,73.7,Malaysia,329750.0,79.45413191811978
132,3,2006,14.2,16.6,159.0955,9.89,99,96,25.5,97,97,0.04,6846,21.19,3.2,3.7,10.3,1,0,72.2,Romania,237500.0,89.22105263157894
47,2,2008,29.1,35.5,173.0485,5.91,81,83,25.7,86,82,0.59,5410,9.46,3.4,3.3,7.2,0,1,71.6,DominicanRepublic,48730.0,194.13092550790068
121,7,2015,2.2,2.7,53.897,5.97,88,91,26.6,95,95,0.04,74356,5.19,0.8,0.7,12.5,1,0,82.3,Norway,323802.0,16.028313599051273
80,3,2005,3.8,4.5,64.2915,8.65,96,84,25.6,97,95,0.09,33258,57.97,0.5,0.5,9.2,1,0,80.8,Italy,301230.0,192.4443116555456
175,1,2015,17.4,21.8,124.547,2.98,97,65,21.7,97,97,0.12,2582,92.68,14.2,14.5,8.0,0,1,75.1,Vietnam,329560.0,281.2234494477485
1,7,2007,15.3,17.1,82.6975,5.46,98,95,25.8,99,98,0.03,3045,2.97,1.6,1.7,9.2,0,1,75.6,Albania,28748.0,103.31153471545846
122,4,2013,9.7,11.3,92.6785,0.44,98,99,26.1,99,98,0.05,19654,3.76,7.0,6.8,8.9,0,1,76.4,Oman,212460.0,17.69744893156359
44,3,2001,4.3,5.2,121.6575,13.64,92,98,26.5,97,98,0.08,12735,10.22,2.2,2.3,10.9,1,0,75.2,Czechia,78866.0,129.58689422564856
161,6,2002,13.8,16.0,155.0705,1.5,88,98,31.4,90,84,0.17,3952,0.1,0.1,0.1,9.1,0,1,69.8,Tonga,748.0,133.6898395721925
38,0,2001,70.7,111.1,420.18,0.9,71,64,22.1,32,31,2.41,2080,3.22,9.4,9.0,5.6,0,1,52.5,"Congo,Rep.",342000.0,9.415204678362572
144,3,2010,2.6,3.2,86.192,10.33,88,96,26.1,96,96,0.02,20613,2.05,1.6,1.6,12.1,1,0,79.4,Slovenia,20273.0,101.11971587826172
59,0,2001,52.3,81.4,321.9725,9.27,70,64,23.8,44,45,3.6,7867,1.26,7.8,7.7,6.3,0,1,58.0,Gabon,267667.0,4.70734158487972
